set;ANG1;ANG2;ANG3;ANG4;TSAI1;TSAI2;TSAI3;TSAI4;TSAI5;TSAI6;TSAI7;TSAI8;TSAI9;TSAI10;TSAI11;TSAI12;TK;MTSAI;TVOL
91;32,5625;69,0286;75,0561;176,29;0,989791;0,75702;0,741515;0,712379;0,331086;0,549964;0,594592;0,394143;0,542751;0,721162;0,796218;0,875507;31,5887;0,989791;3,10E+07
92;123,918;88,4251;178,047;30,3929;0,642203;0,809284;0,691658;0,616744;0,643235;0,653299;0,618149;0,578752;0,506727;0,517304;0,490738;0,283894;26,6201;0,809284;2,62E+07
93;138,445;83,5945;77,0959;118,958;1,56075;1,70594;1,58323;1,42039;0,903624;1,50504;1,45985;0,76884;1,18636;1,26855;1,29654;0,734011;22,9824;1,70594;2,26E+07
94;115,345;153,593;8,40851;97,1662;1,55454;1,3173;1,39523;1,30671;0,805125;1,06098;1,03826;0,606151;0,920743;0,815851;0,959465;0,836829;18,6544;1,55454;1,83E+07
95;4,38514;0,364217;83,3822;87,774;0,731135;0,651442;0,370706;0,303621;0,515056;0,549845;0,528622;0,455499;0,269508;0,314326;0,459229;0,484274;38,1325;0,731135;3,75E+07
96;162,141;61,0782;34,3825;77,4246;1,05006;1,02896;1,15137;0,969388;1,03129;0,8865;0,892688;0,920992;0,915928;1,06925;1,09506;0,906956;38,4209;1,15137;3,78E+07
97;104,157;173,93;90,6144;8,70117;0,797172;0,773274;0,644576;0,72189;0,515805;0,69156;0,673896;0,505854;0,646073;0,422142;0,611735;0,550165;21,6287;0,797172;2,12E+07
98;12,2032;113,609;38,7002;164,153;0,879756;0,585677;0,467687;0,976691;0,932432;0,512147;0,497648;0,838052;0,821465;0,407984;0,452251;0,587827;30,7621;0,976691;3,02E+07
99;158,958;99,3963;34,6396;112,814;1,45177;1,35557;0,747434;1,03444;0,885954;1,04576;0,975222;0,730216;0,836359;0,618027;0,717929;1,10234;16,0514;1,45177;1,58E+07
100;107,064;148,729;9,75443;85,367;2,33796;1,7452;1,82589;1,8251;1,48187;1,3951;1,31467;1,18867;1,32013;1,03549;1,14155;1,23349;15,4174;2,33796;1,51E+07
101;37,9899;174,147;50,5246;82,4817;0,978632;0,950553;0,762037;0,445578;0,455545;0,793795;0,75964;0,404838;0,433757;0,623857;0,68797;0,705836;28,7948;0,978632;2,83E+07
102;126,736;153,008;134,238;53,9824;0,527471;0,589296;0,371245;0,278512;0,277545;0,525274;0,513635;0,251819;0,23632;0,312179;0,472465;0,282133;35,9951;0,589296;3,54E+07
103;129,591;148,912;102,6;21,1029;1,07649;1,12455;0,880015;0,928707;0,490052;1,01703;0,992351;0,443187;0,785673;0,444458;0,904744;0,718336;21,4954;1,12455;2,11E+07
104;35,9594;149,137;97,3529;102,269;0,430588;0,551723;0,677212;0,64761;0,499588;0,492348;0,479755;0,465255;0,485822;0,444974;0,436182;0,201157;37,5864;0,677212;3,70E+07
105;37,0603;31,1276;12,788;80,6183;1,12218;1,13961;1,17444;0,788362;0,610725;0,983104;0,952853;0,528067;0,66049;0,90925;1,00353;1,07046;28,2032;1,17444;2,77E+07
106;175,296;106,141;150,776;72,2141;0,627257;0,70774;0,729963;0,426298;0,48998;0,564554;0,532708;0,397847;0,296446;0,511972;0,418483;0,36698;33,4388;0,729963;3,29E+07
